Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
06/05/23,105.29,12248272,-0.47,-0.44,-0.44,116.13,108.45,107.19,107.29,105.09,89.00
06/02/23,105.76,14112040,2.40,2.32,2.32,116.65,109.39,105.16,106.13,104.53,89.84
06/01/23,103.36,13551940,1.18,1.15,1.15,114.00,104.63,101.75,105.58,101.26,85.53
05/31/23,102.18,24926120,-1.86,-1.79,-1.79,112.70,102.30,102.29,103.04,101.74,83.41
05/30/23,104.04,11938030,-0.93,-0.89,-0.89,114.75,105.98,103.29,104.12,102.61,86.75
05/26/23,104.97,12370330,-0.69,-0.65,-0.65,115.78,107.82,106.47,106.95,104.83,88.42
05/25/23,105.66,14316460,-1.93,-1.79,-1.79,116.54,109.19,105.94,106.43,104.71,89.66
05/24/23,107.59,16340290,1.19,1.12,1.12,118.67,113.01,107.38,108.51,106.73,93.13
05/23/23,106.40,14394440,1.43,1.36,1.36,117.35,110.65,105.99,108.22,105.75,90.99
05/22/23,104.97,12882000,-1.29,-1.21,-1.21,115.78,107.82,105.84,107.04,104.88,88.42
05/19/23,106.26,13359630,0.49,0.46,0.46,117.20,110.38,106.57,107.05,105.82,90.74
05/18/23,105.77,12005610,0.95,0.91,0.91,116.66,109.41,104.55,105.91,104.13,89.86
05/17/23,104.82,14064740,2.30,2.24,2.24,115.61,107.52,103.39,105.23,102.85,88.15
05/16/23,102.52,14800200,-2.55,-2.43,-2.43,113.08,102.97,104.63,104.81,102.02,84.02
05/15/23,105.07,13715580,-0.71,-0.67,0.19,115.89,108.02,105.51,105.93,104.58,88.60
05/12/23,105.78,12613250,-0.01,-0.01,-0.01,115.67,107.63,106.31,107.01,104.78,89.88
05/11/23,105.79,17165900,-1.95,-1.81,-1.81,115.68,107.65,106.49,106.82,104.93,89.89
